series,episode,episode_title,task_number,task_title,task_type,points,points_desc,panellist_full_name,task_type_general,episode_airing,pannelist_id,birthday,gender,origin
1,1,Melon Buffet,1,Most unusual item.,Prize task,5,A reindeer skull.,Tim Key,Prize Task,28 July 2015,1-5,2-Sep-1976,male,UK
1,1,Melon Buffet,2,In the lab there is a watermelon. Eat as much watermelon as possible. You have one minute. Your time starts when you open the door to the lab.,Task 1,4,302g (deducted a point for cheating),Tim Key,Task,28 July 2015,1-5,2-Sep-1976,male,UK
1,1,Melon Buffet,3,"Paint the best picture of a horse, whilst riding a horse.",Task 2,2,,Tim Key,Task,28 July 2015,1-5,2-Sep-1976,male,UK
1,1,Melon Buffet,4,"Completely empty this bathtub. Fastest wins. You must not remove the plug, tip or damage the bath. Your time starts now.",Task 3,1,2:20 (disqualified for removing the plug),Tim Key,Task,28 July 2015,1-5,2-Sep-1976,male,UK
1,1,Melon Buffet,5,"Pop up a tent, get in the tent, zip up the tent, put on a onesie in the tent, and emerge from the tent wearing the onesie. Fastest wins.",Live Task,5,,Tim Key,Live Task,28 July 2015,1-5,2-Sep-1976,male,UK
1,2,The Pie Whisperer,1,Most impressive item.,Prize task,5,A London Marathon participants' medal.,Tim Key,Prize Task,4 August 2015,1-5,2-Sep-1976,male,UK
1,2,The Pie Whisperer,2,High-five a 55-year-old. Fastest wins. Your time starts now.,Task 1,3,4:29 (deducted a point for lying about filming a show for Comic Relief),Tim Key,Task,4 August 2015,1-5,2-Sep-1976,male,UK
1,2,The Pie Whisperer,3,"Identify the contents of these pies. You may touch the pies, but you may not breach their pastry. Most accurate wins. Your time starts now.",Task 2,5,,Tim Key,Task,4 August 2015,1-5,2-Sep-1976,male,UK
1,2,The Pie Whisperer,4,"Do something that will look impressive in reverse. The Taskmaster will see whatever act you perform played backwards. You must therefore do something backwards, that will look impressive when the footage is played in reverse. Your time starts now.",Task 3,3,,Tim Key,Task,4 August 2015,1-5,2-Sep-1976,male,UK
1,2,The Pie Whisperer,5,"Crack the code, unshackle yourself and sprint one metre. Fastest wins.",Live Task,2,,Tim Key,Live Task,4 August 2015,1-5,2-Sep-1976,male,UK
1,3,The Poet And The Egg,1,Most meaningful item.,Prize task,3,A piston from the set of his Edinburgh Comedy Award-winning show.,Tim Key,Prize Task,11 August 2015,1-5,2-Sep-1976,male,UK
1,3,The Poet And The Egg,2,Throw a teabag into a mug from the furthest distance. You have exactly one hour. Your time starts now.,Task 1,5,23.87m,Tim Key,Task,11 August 2015,1-5,2-Sep-1976,male,UK
1,3,The Poet And The Egg,3,"Using this device to track your route, create the best image for Taskmaster. You have one hour. Your time starts when you take your first step. Pop a balloon to signal you have finished your image.",Task 2,3,,Tim Key,Task,11 August 2015,1-5,2-Sep-1976,male,UK
1,3,The Poet And The Egg,4,Buy a gift for the Taskmaster. Here is £20. You have ten weeks. Your time starts now.,Task 3,1,"£16 worth of book tokens, which came in a card worth £4.",Tim Key,Task,11 August 2015,1-5,2-Sep-1976,male,UK
1,3,The Poet And The Egg,5,"Using only the items currently on this table, get this egg as high as possible. Highest wins. The egg must not break. You have 20 minutes. Your time starts now.",Task 4,0,All break the egg.,Tim Key,Task,11 August 2015,1-5,2-Sep-1976,male,UK
1,3,The Poet And The Egg,6,Stand up after 100 seconds. Most accurate wins.,Live Task,4,,Tim Key,Live Task,11 August 2015,1-5,2-Sep-1976,male,UK
1,4,Down An Octave,1,Most beautiful item.,Prize task,5,A flight to Cologne to see the city's cathedral.,Tim Key,Prize Task,18 August 2015,1-5,2-Sep-1976,male,UK
1,4,Down An Octave,2,Make this ice block disappear as fast as possible. You have one hour. Your time starts now.,Task 1,1,"13:40 to dump into into a river, where further along the ice would have presumably appeared to someone else.",Tim Key,Task,18 August 2015,1-5,2-Sep-1976,male,UK
1,4,Down An Octave,5,Get to 11 points as fast as possible. Your time starts now.,Task 2 (Team Task),1,18:01,Tim Key,Team Task,18 August 2015,1-5,2-Sep-1976,male,UK
1,4,Down An Octave,6,Fill an eggcup with as many tears as possible. You have 20 minutes. Your time starts now.,Task 3,1,0,Tim Key,Task,18 August 2015,1-5,2-Sep-1976,male,UK
1,4,Down An Octave,8,Memorise the names of an Australian rules football team. Most accurate wins.,Live Task,1,1,Tim Key,Live Task,18 August 2015,1-5,2-Sep-1976,male,UK
1,5,Little Denim Shorts,1,Most valuable item.,Prize task,2,"Eight copies of his book The Incomplete Tim Key, which he could autograph.",Tim Key,Prize Task,25 August 2015,1-5,2-Sep-1976,male,UK
1,5,Little Denim Shorts,2,Get this boulder as far away from this place as possible. You have one hour. Your time starts now.,Task 1,3,2.3 miles.,Tim Key,Task,25 August 2015,1-5,2-Sep-1976,male,UK
1,5,Little Denim Shorts,3,Grow the longest nail. You have 10 weeks. Your time starts now.,Task 2,1,DNS,Tim Key,Task,25 August 2015,1-5,2-Sep-1976,male,UK
1,5,Little Denim Shorts,4,Make this bed to a hotel standard while holding hands. The time ends when you get into the bed. Fastest wins. Hold hands now. Your time starts now.,Task 3 (Team Task),2,10:57,Tim Key,Team Task,25 August 2015,1-5,2-Sep-1976,male,UK
1,5,Little Denim Shorts,5,Make this Swedish person blush as deeply as possible. You have 10 minutes. Your time starts now.,Task 4,2,,Tim Key,Task,25 August 2015,1-5,2-Sep-1976,male,UK
1,5,Little Denim Shorts,6,Blow up the biggest balloon whilst blindfolded. You have 100 seconds and one balloon.,Live Task,0,disqualified for not tying his balloon up,Tim Key,Live Task,25 August 2015,1-5,2-Sep-1976,male,UK
1,6,The Last Supper,1,Most satisfying item.,Prize task,5,A homemade fish chowder.,Tim Key,Prize Task,1 September 2015,1-5,2-Sep-1976,male,UK
1,6,The Last Supper,2,Get the lowest golf score using eggs. You must complete the five holes using chickens eggs. Your score will be calculated as follows: shots times eggs times minutes. Your time starts now.,Task 1,3,"1,200 points",Tim Key,Task,1 September 2015,1-5,2-Sep-1976,male,UK
1,6,The Last Supper,3,Stage a realistic blooper from a home movie. The Taskmaster will give points to the best filmmakers. You have one hour. Your time starts now.,Task 2 (Team Task),2,,Tim Key,Team Task,1 September 2015,1-5,2-Sep-1976,male,UK
1,6,The Last Supper,4,Make the best meal for the Taskmaster using ingredients beginning with every letter of the alphabet. You have a total of two hours. Your time starts now.,Task 3,3,,Tim Key,Task,1 September 2015,1-5,2-Sep-1976,male,UK
1,6,The Last Supper,5,"Wearing boxing gloves, put the blue sweets in the empty bowl. Most blue sweets wins. Non-blue sweets will be subtracted from your total. You have 100 seconds.",Live Task,5,21,Tim Key,Live Task,1 September 2015,1-5,2-Sep-1976,male,UK
1,1,Melon Buffet,1,Most unusual item.,Prize task,4,A pair of grape scissors.,Frank Skinner,Prize Task,28 July 2015,1-1,28-Jan-1957,male,UK
